Geo,Year,EcoProp,ImpProp
1673.01,2019,1,0
1673.01,2045,1,0
1673.02,2019,1,0
1673.02,2045,1,0
1673.03,2019,1,0
1673.03,2045,1,0
1674,2019,1,0.009
1674,2045,1,0.009
1675.01,2019,1,0
1675.01,2045,1,0.009
1675.02,2019,1,0
1675.02,2045,1,0
1676.01,2019,1,0
1676.01,2045,1,0
1676.02,2019,1,0
1676.02,2045,1,0
1676.03,2019,1,0
1676.03,2045,1,0.009
1677,2019,1,0
1677,2045,1,0
1678,2019,1,0
1678,2045,1,0
1679,2019,1,0
1679,2045,1,0
1680,2019,1,0
1680,2045,1,0
1681,2019,1,0
1681,2045,1,0
1682.01,2019,1,0
1682.01,2045,1,0
1682.02,2019,1,0
1682.02,2045,1,0
1683,2019,1,0
1683,2045,1,0
1684,2019,1,0
1684,2045,1,0
1685,2019,1,0
1685,2045,1,0
1686,2019,1,0
1686,2045,1,0
1687,2019,1,0
1687,2045,1,0
1688.01,2019,1,0
1688.01,2045,1,0
1688.02,2019,1,0
1688.02,2045,1,0
1688.03,2019,1,0
1688.03,2045,1,0
1689.01,2019,1,0
1689.01,2045,1,0
1689.02,2019,1,0
1689.02,2045,1,0
1689.03,2019,1,0
1689.03,2045,1,0
1690.01,2019,1,0
1690.01,2045,1,0
1690.02,2019,1,0
1690.02,2045,1,0.009
1691,2019,1,0
1691,2045,1,0.009
1692,2019,1,0
1692,2045,1,0
1693,2019,1,0
1693,2045,1,0
1694,2019,1,0.009
1694,2045,1,0.009
1695,2019,1,0.009
1695,2045,1,0.009
1696,2019,1,0.009
1696,2045,1,0.009
1697,2019,1,0.009
1697,2045,1,0.009
1698,2019,1,0
1698,2045,1,0
1699,2019,1,0.009
1699,2045,1,0.009
1700,2019,1,0
1700,2045,1,0
1701,2019,1,0
1701,2045,1,0
1702,2019,1,0
1702,2045,1,0
1703,2019,1,0
1703,2045,1,0.009
1704.01,2019,1,0.009
1704.01,2045,1,0.009
1704.02,2019,1,0.009
1704.02,2045,1,0.009
1704.03,2019,1,0.009
1704.03,2045,1,0.009
1705,2019,1,0.009
1705,2045,1,0.009
1706,2019,1,0.009
1706,2045,1,0.009
1707,2019,1,0.009
1707,2045,1,0.009
1708,2019,1,0
1708,2045,1,0
1709,2019,1,0
1709,2045,1,0
1710,2019,1,0
1710,2045,1,0
1711,2019,1,0
1711,2045,1,0
1712,2019,1,0
1712,2045,1,0
1713,2019,1,0
1713,2045,1,0
1714,2019,1,0
1714,2045,1,0
1715,2019,1,0
1715,2045,1,0
1716,2019,1,0
1716,2045,1,0
1717,2019,1,0
1717,2045,1,0
1718,2019,1,0
1718,2045,1,0
1719,2019,1,0
1719,2045,1,0
1720,2019,1,0
1720,2045,1,0
1721,2019,1,0
1721,2045,1,0
1722,2019,1,0
1722,2045,1,0
1723,2019,1,0
1723,2045,1,0
1724,2019,1,0
1724,2045,1,0
1725.01,2019,1,0
1725.01,2045,1,0.009
1725.02,2019,1,0
1725.02,2045,1,0
1726.01,2019,1,0
1726.01,2045,1,0.009
1726.02,2019,1,0
1726.02,2045,1,0
1727,2019,1,0
1727,2045,1,0.009
1728.01,2019,1,0
1728.01,2045,1,0.009
1728.02,2019,1,0.009
1728.02,2045,1,0.009
1729.01,2019,1,0.009
1729.01,2045,1,0.009
1729.02,2019,1,0
1729.02,2045,1,0.009
1730.01,2019,1,0.009
1730.01,2045,1,0.009
1730.02,2019,1,0
1730.02,2045,1,0.009
1731.01,2019,1,0.009
1731.01,2045,1,0.009
1731.02,2019,1,0.009
1731.02,2045,1,0.009
1731.03,2019,1,0
1731.03,2045,1,0.009
1732,2019,1,0.009
1732,2045,1,0.009
1733,2019,1,0.009
1733,2045,1,0.009
1734,2019,1,0.009
1734,2045,1,0.009
1735,2019,1,0.009
1735,2045,1,0.009
1736,2019,1,0.009
1736,2045,1,0.009
1737,2019,1,0
1737,2045,1,0
1738,2019,1,0
1738,2045,1,0
1739.01,2019,1,0.009
1739.01,2045,1,0.009
1739.02,2019,1,0.009
1739.02,2045,1,0.009
1739.03,2019,1,0.009
1739.03,2045,1,0.009
1740,2019,1,0
1740,2045,1,0.009
1741.01,2019,1,0
1741.01,2045,1,0.009
1741.02,2019,1,0
1741.02,2045,1,0.009
1741.03,2019,1,0
1741.03,2045,1,0
1742.01,2019,1,0
1742.01,2045,1,0.009
1742.02,2019,1,0
1742.02,2045,1,0.009
1743,2019,1,0
1743,2045,1,0
1744.01,2019,1,0
1744.01,2045,1,0.009
1744.02,2019,1,0
1744.02,2045,1,0.009
1745,2019,1,0.009
1745,2045,1,0.009
1746,2019,1,0.009
1746,2045,1,0.009
1747,2019,1,0.009
1747,2045,1,0.009
1748,2019,1,0.009
1748,2045,1,0.009
1749,2019,1,0
1749,2045,1,0.009
1750.01,2019,1,0
1750.01,2045,1,0
1750.02,2019,1,0
1750.02,2045,1,0.009
1750.03,2019,1,0.009
1750.03,2045,1,0.009
1751,2019,1,0.009
1751,2045,1,0.009
1752.01,2019,1,0.009
1752.01,2045,1,0.009
1752.02,2019,1,0.009
1752.02,2045,1,0.009
1753.01,2019,1,0
1753.01,2045,1,0.009
1753.02,2019,1,0
1753.02,2045,1,0.009
1753.03,2019,1,0.009
1753.03,2045,1,0.009
1754.01,2019,1,0.009
1754.01,2045,1,0.009
1754.02,2019,1,0.009
1754.02,2045,1,0.009
1754.03,2019,1,0
1754.03,2045,1,0.009
1755,2019,1,0.009
1755,2045,1,0.009
1756,2019,1,0
1756,2045,1,0
1757,2019,1,0
1757,2045,1,0
1758,2019,1,0
1758,2045,1,0.009
1759,2019,1,0.009
1759,2045,1,0.009
1760,2019,1,0.009
1760,2045,1,0.009
1761,2019,1,0.009
1761,2045,1,0.009
1762,2019,1,0
1762,2045,1,0
1763,2019,1,0
1763,2045,1,0
1764,2019,1,0
1764,2045,1,0
1765,2019,1,0
1765,2045,1,0
1766,2019,1,0
1766,2045,1,0
1767,2019,1,0
1767,2045,1,0.009
1768,2019,1,0.009
1768,2045,1,0.009
1769,2019,1,0.009
1769,2045,1,0.009
1770.01,2019,1,0
1770.01,2045,1,0.009
1770.02,2019,1,0
1770.02,2045,1,0
1771,2019,1,0
1771,2045,1,0
1772,2019,1,0
1772,2045,1,0
1773,2019,1,0
1773,2045,1,0
1774,2019,1,0
1774,2045,1,0
1775,2019,1,0
1775,2045,1,0
1776,2019,1,0
1776,2045,1,0
1777,2019,1,0
1777,2045,1,0
1778,2019,1,0
1778,2045,1,0
1779,2019,1,0
1779,2045,1,0
1780,2019,1,0
1780,2045,1,0
1781,2019,1,0
1781,2045,1,0
1782,2019,1,0
1782,2045,1,0
1783,2019,1,0
1783,2045,1,0
1784,2019,1,0
1784,2045,1,0
1785,2019,1,0.009
1785,2045,1,0.009
1786,2019,1,0
1786,2045,1,0
1787,2019,1,0.009
1787,2045,1,0.009
1788,2019,1,0
1788,2045,1,0
1789,2019,1,0
1789,2045,1,0
1790,2019,1,0.009
1790,2045,1,0.009
1791,2019,1,0.009
1791,2045,1,0.009
1792,2019,1,0
1792,2045,1,0.009
1793.01,2019,1,0
1793.01,2045,1,0
1793.02,2019,1,0
1793.02,2045,1,0
1794,2019,1,0.009
1794,2045,1,0.009
1795,2019,1,0
1795,2045,1,0.009
1796.01,2019,1,0
1796.01,2045,1,0
1796.02,2019,1,0
1796.02,2045,1,0
1796.03,2019,1,0
1796.03,2045,1,0
1797.01,2019,1,0.009
1797.01,2045,1,0.009
1797.02,2019,1,0
1797.02,2045,1,0.009
1797.03,2019,1,0
1797.03,2045,1,0.009
1798.01,2019,1,0
1798.01,2045,1,0
1798.02,2019,1,0
1798.02,2045,1,0
1798.03,2019,1,0
1798.03,2045,1,0
1798.04,2019,1,0
1798.04,2045,1,0
1799,2019,1,0
1799,2045,1,0
1800.01,2019,1,0
1800.01,2045,1,0
1800.02,2019,1,0
1800.02,2045,1,0
1800.03,2019,1,0
1800.03,2045,1,0
1800.04,2019,1,0
1800.04,2045,1,0
1800.05,2019,1,0
1800.05,2045,1,0
1800.06,2019,1,0
1800.06,2045,1,0
1801,2019,1,0
1801,2045,1,0
1802,2019,1,0.009
1802,2045,1,0.009
1803,2019,1,0.009
1803,2045,1,0.009
1804,2019,1,0.009
1804,2045,1,0.009
1805,2019,1,0.009
1805,2045,1,0.009
1806,2019,1,0.009
1806,2045,1,0.009
1807,2019,1,0.009
1807,2045,1,0.009
1808,2019,1,0
1808,2045,1,0
1809,2019,1,0.009
1809,2045,1,0.009
1810,2019,1,0.009
1810,2045,1,0.009
1811,2019,1,0
1811,2045,1,0
1812,2019,1,0
1812,2045,1,0
1813,2019,1,0
1813,2045,1,0
1814.01,2019,1,0
1814.01,2045,1,0
1814.02,2019,1,0
1814.02,2045,1,0
1815,2019,1,0.009
1815,2045,1,0.009
1816,2019,1,0.009
1816,2045,1,0.009
1817.01,2019,1,0.009
1817.01,2045,1,0.009
1817.02,2019,1,0.009
1817.02,2045,1,0.009
1817.03,2019,1,0.009
1817.03,2045,1,0.009
1818,2019,1,0
1818,2045,1,0
1819,2019,1,0.009
1819,2045,1,0.009
1820,2019,1,0.009
1820,2045,1,0.009
1821,2019,1,0
1821,2045,1,0
1822,2019,1,0
1822,2045,1,0
1823,2019,1,0
1823,2045,1,0.009
1824,2019,1,0
1824,2045,1,0
1825,2019,1,0
1825,2045,1,0
1826,2019,1,0
1826,2045,1,0
1827,2019,1,0
1827,2045,1,0.009
1828,2019,1,0
1828,2045,1,0
1829,2019,1,0
1829,2045,1,0
1830,2019,1,0
1830,2045,1,0
1831,2019,1,0
1831,2045,1,0
1832.01,2019,1,0
1832.01,2045,1,0.009
1832.02,2019,1,0.009
1832.02,2045,1,0.009
1832.03,2019,1,0
1832.03,2045,1,0
1833.01,2019,1,0
1833.01,2045,1,0.009
1833.02,2019,1,0
1833.02,2045,1,0.009
1833.03,2019,1,0
1833.03,2045,1,0.009
1834,2019,1,0
1834,2045,1,0
1835,2019,1,0
1835,2045,1,0
1836,2019,1,0
1836,2045,1,0
1837,2019,1,0
1837,2045,1,0
1838.01,2019,1,0.009
1838.01,2045,1,0.009
1838.02,2019,1,0.009
1838.02,2045,1,0.009
1839,2019,1,0.009
1839,2045,1,0.009
1840,2019,1,0
1840,2045,1,0.009
1841.01,2019,1,0
1841.01,2045,1,0.009
1841.02,2019,1,0
1841.02,2045,1,0.009
1841.03,2019,1,0
1841.03,2045,1,0
1841.04,2019,1,0
1841.04,2045,1,0.009
1842.01,2019,1,0
1842.01,2045,1,0
1842.02,2019,1,0
1842.02,2045,1,0
1843.01,2019,1,0.009
1843.01,2045,1,0.009
1843.02,2019,1,0
1843.02,2045,1,0.009
1844,2019,1,0
1844,2045,1,0.009
1845.01,2019,1,0
1845.01,2045,1,0.009
1845.02,2019,1,0
1845.02,2045,1,0.009
1845.03,2019,1,0
1845.03,2045,1,0.009
1846.01,2019,1,0
1846.01,2045,1,0.009
1846.02,2019,1,0
1846.02,2045,1,0.009
1847.01,2019,1,0.009
1847.01,2045,1,0.009
1847.02,2019,1,0.009
1847.02,2045,1,0.009
1848.01,2019,1,0.009
1848.01,2045,1,0.009
1848.02,2019,1,0
1848.02,2045,1,0.009
1849.01,2019,1,0.009
1849.01,2045,1,0.009
1849.02,2019,1,0
1849.02,2045,1,0.009
1850,2019,1,0.009
1850,2045,1,0.009
1851.01,2019,1,0
1851.01,2045,1,0.009
1851.02,2019,1,0.009
1851.02,2045,1,0.009
1852.01,2019,1,0
1852.01,2045,1,0
1852.02,2019,1,0
1852.02,2045,1,0
1853.01,2019,1,0
1853.01,2045,1,0.009
1853.02,2019,1,0
1853.02,2045,1,0.009
1854.01,2019,1,0
1854.01,2045,1,0.009
1854.02,2019,1,0
1854.02,2045,1,0.009
1855,2019,1,0
1855,2045,1,0.009
1856,2019,1,0.009
1856,2045,1,0.009
1857,2019,1,0.009
1857,2045,1,0.009
1858,2019,1,0.009
1858,2045,1,0.009
1859,2019,1,0
1859,2045,1,0
1860,2019,1,0
1860,2045,1,0
1861,2019,1,0.009
1861,2045,1,0.009
1862,2019,1,0.009
1862,2045,1,0.009
1863,2019,1,0
1863,2045,1,0
1864,2019,1,0.009
1864,2045,1,0.009
1865.01,2019,1,0
1865.01,2045,1,0.009
1865.02,2019,1,0
1865.02,2045,1,0.009
1865.03,2019,1,0
1865.03,2045,1,0.009
1865.04,2019,1,0.009
1865.04,2045,1,0.009
1866.01,2019,1,0.009
1866.01,2045,1,0.009
1866.02,2019,1,0.009
1866.02,2045,1,0.009
1866.03,2019,1,0.009
1866.03,2045,1,0.009
1867.01,2019,1,0.009
1867.01,2045,1,0.009
1867.02,2019,1,0
1867.02,2045,1,0.009
1868.01,2019,1,0
1868.01,2045,1,0.009
1868.02,2019,1,0
1868.02,2045,1,0
1868.03,2019,1,0
1868.03,2045,1,0
1869.01,2019,1,0.009
1869.01,2045,1,0.009
1869.02,2019,1,0
1869.02,2045,1,0
1870,2019,1,0
1870,2045,1,0
1871,2019,1,0
1871,2045,1,0
1872,2019,1,0
1872,2045,1,0
1873,2019,1,0
1873,2045,1,0.009
1874,2019,1,0.009
1874,2045,1,0.009
1875,2019,1,0.009
1875,2045,1,0.009
1876,2019,1,0.009
1876,2045,1,0.009
1877,2019,1,0.009
1877,2045,1,0.009
1878,2019,1,0
1878,2045,1,0
1879,2019,1,0.009
1879,2045,1,0.009
1880,2019,1,0
1880,2045,1,0
1881,2019,1,0
1881,2045,1,0
1882,2019,1,0
1882,2045,1,0
1883,2019,1,0
1883,2045,1,0
1884,2019,1,0
1884,2045,1,0
1885,2019,1,0
1885,2045,1,0
1886,2019,1,0
1886,2045,1,0
1887,2019,1,0
1887,2045,1,0
1888,2019,1,0
1888,2045,1,0
1889,2019,1,0
1889,2045,1,0
1890,2019,1,0
1890,2045,1,0
1891,2019,1,0
1891,2045,1,0
1892,2019,1,0
1892,2045,1,0
1893,2019,1,0
1893,2045,1,0
1894,2019,1,0
1894,2045,1,0
1895,2019,1,0
1895,2045,1,0
1896,2019,1,0
1896,2045,1,0
1897,2019,1,0
1897,2045,1,0
1898,2019,1,0
1898,2045,1,0
1899,2019,1,0
1899,2045,1,0
1900,2019,1,0
1900,2045,1,0
1901.01,2019,1,0.009
1901.01,2045,1,0.009
1901.02,2019,1,0.009
1901.02,2045,1,0.009
1901.03,2019,1,0
1901.03,2045,1,0.009
1902,2019,1,0.009
1902,2045,1,0.009
1903,2019,1,0.009
1903,2045,1,0.009
1904,2019,1,0.009
1904,2045,1,0.009
1905,2019,1,0.009
1905,2045,1,0.009
1906.01,2019,1,0.009
1906.01,2045,1,0.009
1906.02,2019,1,0
1906.02,2045,1,0
1907,2019,1,0
1907,2045,1,0
1908,2019,1,0.009
1908,2045,1,0.009
1909,2019,1,0
1909,2045,1,0
1910,2019,1,0
1910,2045,1,0
1911,2019,1,0.009
1911,2045,1,0.009
1912,2019,1,0.009
1912,2045,1,0.009
1913,2019,1,0.009
1913,2045,1,0.009
1914,2019,1,0.009
1914,2045,1,0.009
1915,2019,1,0
1915,2045,1,0
1916,2019,1,0
1916,2045,1,0
1917,2019,1,0
1917,2045,1,0
1918,2019,1,0
1918,2045,1,0.009
1919,2019,1,0.009
1919,2045,1,0.009
1920,2019,1,0.009
1920,2045,1,0.009
1921,2019,1,0.009
1921,2045,1,0.009
1922,2019,1,0.009
1922,2045,1,0.009
1923,2019,1,0
1923,2045,1,0
1924,2019,1,0
1924,2045,1,0
1925,2019,1,0
1925,2045,1,0.009
1926,2019,1,0
1926,2045,1,0
1927,2019,1,0.009
1927,2045,1,0.009
1928,2019,1,0
1928,2045,1,0.009
1929,2019,1,0
1929,2045,1,0
1930,2019,1,0
1930,2045,1,0
1931,2019,1,0.009
1931,2045,1,0.009
1932,2019,1,0.009
1932,2045,1,0.009
1933,2019,1,0.009
1933,2045,1,0.009
1934,2019,1,0.009
1934,2045,1,0.009
1935,2019,1,0.009
1935,2045,1,0.009
1936,2019,1,0.009
1936,2045,1,0.009
1937,2019,1,0.009
1937,2045,1,0.009
1938,2019,1,0.009
1938,2045,1,0.009
1939,2019,1,0.009
1939,2045,1,0.009
1940,2019,1,0.009
1940,2045,1,0.009
1941,2019,1,0
1941,2045,1,0.009
1942,2019,1,0
1942,2045,1,0
1943.01,2019,1,0
1943.01,2045,1,0
1943.02,2019,1,0
1943.02,2045,1,0
1943.03,2019,1,0
1943.03,2045,1,0
1944.01,2019,1,0
1944.01,2045,1,0
1944.02,2019,1,0.009
1944.02,2045,1,0.009
1944.03,2019,1,0.009
1944.03,2045,1,0.009
1944.04,2019,1,0.009
1944.04,2045,1,0.009
1944.05,2019,1,0
1944.05,2045,1,0
1944.06,2019,1,0
1944.06,2045,1,0
1945.01,2019,1,0
1945.01,2045,1,0
1945.02,2019,1,0
1945.02,2045,1,0
1945.03,2019,1,0.009
1945.03,2045,1,0.009
1946,2019,1,0.009
1946,2045,1,0.009
1947,2019,1,0
1947,2045,1,0
1948,2019,1,0
1948,2045,1,0
1949,2019,1,0
1949,2045,1,0
1950,2019,1,0
1950,2045,1,0
1951,2019,1,0
1951,2045,1,0
1952,2019,1,0
1952,2045,1,0
1953,2019,1,0
1953,2045,1,0
1954,2019,1,0.009
1954,2045,1,0.009
1955,2019,1,0
1955,2045,1,0.009
1956,2019,1,0.009
1956,2045,1,0.009
1957,2019,1,0.009
1957,2045,1,0.009
1958,2019,1,0
1958,2045,1,0.009
1959,2019,1,0
1959,2045,1,0
1960,2019,1,0
1960,2045,1,0
1961,2019,1,0.009
1961,2045,1,0.009
1962,2019,1,0.009
1962,2045,1,0.009
1963,2019,1,0.009
1963,2045,1,0.009
1964,2019,1,0.009
1964,2045,1,0.009
1965,2019,1,0
1965,2045,1,0
1966.01,2019,1,0.009
1966.01,2045,1,0.009
1966.02,2019,1,0
1966.02,2045,1,0
1967,2019,1,0.009
1967,2045,1,0.009
1968.01,2019,1,0.009
1968.01,2045,1,0.009
1968.02,2019,1,0
1968.02,2045,1,0.009
1969.01,2019,1,0
1969.01,2045,1,0
1969.02,2019,1,0.009
1969.02,2045,1,0.009
1970,2019,1,0
1970,2045,1,0
1971,2019,1,0
1971,2045,1,0
1972.01,2019,1,0
1972.01,2045,1,0
1972.02,2019,1,0
1972.02,2045,1,0
1972.03,2019,1,0.009
1972.03,2045,1,0.009
1972.04,2019,1,0
1972.04,2045,1,0
1973.01,2019,1,0
1973.01,2045,1,0
1973.02,2019,1,0.009
1973.02,2045,1,0.009
1973.03,2019,1,0
1973.03,2045,1,0
1973.04,2019,1,0
1973.04,2045,1,0
1974,2019,1,0.009
1974,2045,1,0.009
1975,2019,1,0
1975,2045,1,0
1976,2019,1,0
1976,2045,1,0
1977,2019,1,0
1977,2045,1,0
1978,2019,1,0
1978,2045,1,0
1979,2019,1,0
1979,2045,1,0
1980,2019,1,0
1980,2045,1,0
1981,2019,1,0
1981,2045,1,0
1982,2019,1,0.009
1982,2045,1,0.009
1983,2019,1,0
1983,2045,1,0
1984,2019,1,0.009
1984,2045,1,0.009
1985,2019,1,0
1985,2045,1,0
1986,2019,1,0.009
1986,2045,1,0.009
1987,2019,1,0
1987,2045,1,0
1988,2019,1,0.009
1988,2045,1,0.009
1989.01,2019,1,0.009
1989.01,2045,1,0.009
1989.02,2019,1,0
1989.02,2045,1,0
1989.03,2019,1,0.009
1989.03,2045,1,0.009
1990,2019,1,0.009
1990,2045,1,0.009
1991,2019,1,0.009
1991,2045,1,0.009
1992,2019,1,0
1992,2045,1,0.009
1993,2019,1,0
1993,2045,1,0
1994,2019,1,0
1994,2045,1,0.009
1995,2019,1,0
1995,2045,1,0
1996,2019,1,0
1996,2045,1,0
1997,2019,1,0
1997,2045,1,0
1998,2019,1,0.009
1998,2045,1,0.009
1999,2019,1,0
1999,2045,1,0
2000,2019,1,0.009
2000,2045,1,0.009
2001,2019,1,0.009
2001,2045,1,0.009
2002,2019,1,0.009
2002,2045,1,0.009
2003,2019,1,0
2003,2045,1,0
2004,2019,1,0
2004,2045,1,0
2005,2019,1,0.009
2005,2045,1,0.009
2006.01,2019,1,0
2006.01,2045,1,0
2006.02,2019,1,0.009
2006.02,2045,1,0.009
2007,2019,1,0
2007,2045,1,0.009
2008,2019,1,0.009
2008,2045,1,0.009
2009,2019,1,0.009
2009,2045,1,0.009
2010,2019,1,0.009
2010,2045,1,0.009
2011,2019,1,0
2011,2045,1,0
2012.01,2019,1,0.009
2012.01,2045,1,0.009
2012.02,2019,1,0
2012.02,2045,1,0
2013.01,2019,1,0
2013.01,2045,1,0
2013.02,2019,1,0
2013.02,2045,1,0
2014,2019,1,0.009
2014,2045,1,0.009
2015,2019,1,0.009
2015,2045,1,0.009
2016,2019,1,0
2016,2045,1,0
2017,2019,1,0
2017,2045,1,0.009
2018.01,2019,1,0
2018.01,2045,1,0
2018.02,2019,1,0
2018.02,2045,1,0
2018.03,2019,1,0
2018.03,2045,1,0.009
2019,2019,1,0.009
2019,2045,1,0.009
2020,2019,1,0.009
2020,2045,1,0.009
2021,2019,1,0.009
2021,2045,1,0.009
2022,2019,1,0.009
2022,2045,1,0.009
2023,2019,1,0
2023,2045,1,0.009
2024,2019,1,0
2024,2045,1,0
2025.01,2019,1,0
2025.01,2045,1,0
2025.02,2019,1,0
2025.02,2045,1,0
2025.03,2019,1,0
2025.03,2045,1,0
2026,2019,1,0.009
2026,2045,1,0.009
2027,2019,1,0
2027,2045,1,0
2028,2019,1,0
2028,2045,1,0.009
2029,2019,1,0
2029,2045,1,0.009
2030,2019,1,0
2030,2045,1,0
2031,2019,1,0
2031,2045,1,0
2032,2019,1,0
2032,2045,1,0
2033,2019,1,0.009
2033,2045,1,0.009
2034,2019,1,0
2034,2045,1,0.009
2035,2019,1,0.009
2035,2045,1,0.009
2036.01,2019,1,0
2036.01,2045,1,0
2036.02,2019,1,0
2036.02,2045,1,0
2036.03,2019,1,0
2036.03,2045,1,0
2037,2019,1,0
2037,2045,1,0
2038,2019,1,0.009
2038,2045,1,0.009
2039,2019,1,0
2039,2045,1,0
2040,2019,1,0
2040,2045,1,0
2041,2019,1,0
2041,2045,1,0
2042,2019,1,0
2042,2045,1,0
2043,2019,1,0.009
2043,2045,1,0.009
2044.01,2019,1,0.009
2044.01,2045,1,0.009
2044.02,2019,1,0
2044.02,2045,1,0.009
2045,2019,1,0.009
2045,2045,1,0.009
2046,2019,1,0
2046,2045,1,0
2047.01,2019,1,0.009
2047.01,2045,1,0.009
2047.02,2019,1,0.009
2047.02,2045,1,0.009
2048,2019,1,0
2048,2045,1,0
2049,2019,1,0
2049,2045,1,0
2050,2019,1,0
2050,2045,1,0
2051,2019,1,0
2051,2045,1,0
2052,2019,1,0.009
2052,2045,1,0.009
2053,2019,1,0.009
2053,2045,1,0.009
2054,2019,1,0.009
2054,2045,1,0.009
2055,2019,1,0
2055,2045,1,0.009
2056,2019,1,0
2056,2045,1,0.009
2057,2019,1,0
2057,2045,1,0
2058,2019,1,0.009
2058,2045,1,0.009
2059,2019,1,0.009
2059,2045,1,0.009
2060,2019,1,0.009
2060,2045,1,0.009
2061.01,2019,1,0
2061.01,2045,1,0.009
2061.02,2019,1,0.009
2061.02,2045,1,0.009
2062.01,2019,1,0.009
2062.01,2045,1,0.009
2062.02,2019,1,0
2062.02,2045,1,0.009
2062.03,2019,1,0.009
2062.03,2045,1,0.009
2063.01,2019,1,0.009
2063.01,2045,1,0.009
2063.02,2019,1,0
2063.02,2045,1,0
2064,2019,1,0.009
2064,2045,1,0.009
2065,2019,1,0.009
2065,2045,1,0.009
2066.01,2019,1,0
2066.01,2045,1,0
2066.02,2019,1,0
2066.02,2045,1,0
2067,2019,1,0
2067,2045,1,0
2068,2019,1,0
2068,2045,1,0
2069.01,2019,1,0.009
2069.01,2045,1,0.009
2069.02,2019,1,0
2069.02,2045,1,0
2070,2019,1,0
2070,2045,1,0
2071,2019,1,0
2071,2045,1,0
2072,2019,1,0.009
2072,2045,1,0.009
2073.01,2019,1,0.009
2073.01,2045,1,0.009
2073.02,2019,1,0.009
2073.02,2045,1,0.009
2073.03,2019,1,0
2073.03,2045,1,0
2074.01,2019,1,0
2074.01,2045,1,0
