Geo,Year,CarSvcLevel
1728.02,2019,Low
1729.01,2019,Low
1729.02,2019,Low
1730.01,2019,Low
1730.02,2019,Low
1731.01,2019,Low
1731.02,2019,Low
1731.03,2019,Low
1732,2019,Low
1733,2019,Low
1734,2019,Low
1735,2019,Low
1736,2019,Low
1737,2019,Low
1738,2019,Low
1739.01,2019,Low
1739.02,2019,Low
1739.03,2019,Low
1740,2019,Low
1741.01,2019,Low
1741.02,2019,Low
1741.03,2019,Low
1742.01,2019,Low
1742.02,2019,Low
1743,2019,Low
1744.01,2019,Low
1744.02,2019,Low
1745,2019,Low
1746,2019,Low
1747,2019,Low
1748,2019,Low
1749,2019,Low
1750.01,2019,Low
1750.02,2019,Low
1750.03,2019,Low
1751,2019,Low
1752.01,2019,Low
1752.02,2019,Low
1753.01,2019,Low
1753.02,2019,Low
1753.03,2019,Low
1754.01,2019,Low
1754.02,2019,Low
1754.03,2019,Low
1755,2019,Low
1756,2019,Low
1757,2019,Low
1758,2019,Low
1759,2019,Low
1760,2019,Low
1761,2019,Low
1762,2019,Low
1763,2019,Low
1764,2019,Low
1765,2019,Low
1766,2019,Low
1767,2019,Low
1768,2019,Low
1769,2019,Low
1770.01,2019,Low
1770.02,2019,Low
1771,2019,Low
1772,2019,Low
1773,2019,Low
1774,2019,Low
1775,2019,Low
1776,2019,Low
1777,2019,Low
1778,2019,Low
1779,2019,Low
1780,2019,Low
1781,2019,Low
1782,2019,Low
1783,2019,Low
1784,2019,Low
1785,2019,Low
1786,2019,Low
1787,2019,Low
1788,2019,Low
1789,2019,Low
1790,2019,Low
1791,2019,Low
1792,2019,Low
1793.01,2019,Low
1793.02,2019,Low
1794,2019,Low
1795,2019,Low
1796.01,2019,Low
1796.02,2019,Low
1796.03,2019,Low
1797.01,2019,Low
1797.02,2019,Low
1797.03,2019,Low
1798.01,2019,Low
1798.02,2019,Low
1798.03,2019,Low
1798.04,2019,Low
1799,2019,Low
1800.01,2019,Low
1800.02,2019,Low
1800.03,2019,Low
1800.04,2019,Low
1800.05,2019,Low
1800.06,2019,Low
1801,2019,Low
1802,2019,Low
1803,2019,Low
1804,2019,Low
1805,2019,Low
1806,2019,Low
1807,2019,Low
1808,2019,Low
1809,2019,Low
1810,2019,Low
1811,2019,Low
1812,2019,Low
1813,2019,Low
1814.01,2019,Low
1814.02,2019,Low
1815,2019,Low
1816,2019,Low
1817.01,2019,Low
1817.02,2019,Low
1817.03,2019,Low
1818,2019,Low
1819,2019,Low
1820,2019,Low
1821,2019,Low
1822,2019,Low
1823,2019,Low
1824,2019,Low
1825,2019,Low
1826,2019,Low
1827,2019,Low
1828,2019,Low
1829,2019,Low
1830,2019,Low
1831,2019,Low
1832.01,2019,Low
1832.02,2019,Low
1832.03,2019,Low
1833.01,2019,Low
1833.02,2019,Low
1833.03,2019,Low
1834,2019,Low
1835,2019,Low
1836,2019,Low
1837,2019,Low
1838.01,2019,Low
1838.02,2019,Low
1839,2019,Low
1840,2019,Low
1841.01,2019,Low
1841.02,2019,Low
1841.03,2019,Low
1841.04,2019,Low
1842.01,2019,Low
1842.02,2019,Low
1843.01,2019,Low
1843.02,2019,Low
1844,2019,Low
1845.01,2019,Low
1845.02,2019,Low
1845.03,2019,Low
1846.01,2019,Low
1846.02,2019,Low
1847.01,2019,Low
1847.02,2019,Low
1848.01,2019,Low
1848.02,2019,Low
1849.01,2019,Low
1849.02,2019,Low
1850,2019,Low
1851.01,2019,Low
1851.02,2019,Low
1852.01,2019,Low
1852.02,2019,Low
1853.01,2019,Low
1853.02,2019,Low
1854.01,2019,Low
1854.02,2019,Low
1855,2019,Low
1856,2019,Low
1857,2019,Low
1858,2019,Low
1859,2019,Low
1860,2019,Low
1861,2019,Low
1862,2019,Low
1863,2019,Low
1864,2019,Low
1865.01,2019,Low
1865.02,2019,Low
1865.03,2019,Low
1865.04,2019,Low
1866.01,2019,Low
1866.02,2019,Low
1866.03,2019,Low
1867.01,2019,Low
1867.02,2019,Low
1868.01,2019,Low
1868.02,2019,Low
1868.03,2019,Low
1869.01,2019,Low
1869.02,2019,Low
1870,2019,Low
1871,2019,Low
1872,2019,Low
1873,2019,Low
1874,2019,Low
1875,2019,Low
1876,2019,Low
1877,2019,Low
1878,2019,Low
1879,2019,Low
1880,2019,Low
1881,2019,Low
1882,2019,Low
1883,2019,Low
1884,2019,Low
1885,2019,Low
1886,2019,Low
1887,2019,Low
1888,2019,Low
1889,2019,Low
1890,2019,Low
1891,2019,Low
1892,2019,Low
1893,2019,Low
1894,2019,Low
1895,2019,Low
1896,2019,Low
1897,2019,Low
1898,2019,Low
1899,2019,Low
1900,2019,Low
1901.01,2019,Low
1901.02,2019,Low
1901.03,2019,Low
1902,2019,Low
1903,2019,Low
1904,2019,Low
1905,2019,Low
1906.01,2019,Low
1906.02,2019,Low
1907,2019,Low
1908,2019,Low
1909,2019,Low
1910,2019,Low
1911,2019,Low
1912,2019,Low
1913,2019,Low
1914,2019,Low
1915,2019,Low
1916,2019,Low
1917,2019,Low
1918,2019,Low
1919,2019,Low
1920,2019,Low
1921,2019,Low
1922,2019,Low
1923,2019,Low
1924,2019,Low
1925,2019,Low
1926,2019,Low
1927,2019,Low
1928,2019,Low
1929,2019,Low
1930,2019,Low
1931,2019,Low
1932,2019,Low
1933,2019,Low
1934,2019,Low
1935,2019,Low
1936,2019,Low
1937,2019,Low
1938,2019,Low
1939,2019,Low
1940,2019,Low
1941,2019,Low
1942,2019,Low
1943.01,2019,Low
1943.02,2019,Low
1943.03,2019,Low
1944.01,2019,Low
1944.02,2019,Low
1944.03,2019,Low
1944.04,2019,Low
1944.05,2019,Low
1944.06,2019,Low
1945.01,2019,Low
1945.02,2019,Low
1945.03,2019,Low
1946,2019,Low
1947,2019,Low
1948,2019,Low
1949,2019,Low
1950,2019,Low
1951,2019,Low
1952,2019,Low
1953,2019,Low
1954,2019,Low
1955,2019,Low
1956,2019,Low
1957,2019,Low
1958,2019,Low
1959,2019,Low
1960,2019,Low
1961,2019,Low
1962,2019,Low
1963,2019,Low
1964,2019,Low
1965,2019,Low
1966.01,2019,Low
1966.02,2019,Low
1967,2019,Low
1968.01,2019,Low
1968.02,2019,Low
1969.01,2019,Low
1969.02,2019,Low
1970,2019,Low
1971,2019,Low
1972.01,2019,Low
1972.02,2019,Low
1972.03,2019,Low
1972.04,2019,Low
1973.01,2019,Low
1973.02,2019,Low
1973.03,2019,Low
1973.04,2019,Low
1974,2019,Low
1975,2019,Low
1976,2019,Low
1977,2019,Low
1978,2019,Low
1979,2019,Low
1980,2019,Low
1981,2019,Low
1982,2019,Low
1983,2019,Low
1984,2019,Low
1985,2019,Low
1986,2019,Low
1987,2019,Low
1988,2019,Low
1989.01,2019,Low
1989.02,2019,Low
1989.03,2019,Low
1990,2019,Low
1991,2019,Low
1992,2019,Low
1993,2019,Low
1994,2019,Low
1995,2019,Low
1996,2019,Low
1997,2019,Low
1998,2019,Low
1999,2019,Low
2000,2019,Low
2001,2019,Low
2002,2019,Low
2003,2019,Low
2004,2019,Low
2005,2019,Low
2006.01,2019,Low
2006.02,2019,Low
2007,2019,Low
2008,2019,Low
2009,2019,Low
2010,2019,Low
2011,2019,Low
2012.01,2019,Low
2012.02,2019,Low
2013.01,2019,Low
2013.02,2019,Low
2014,2019,Low
2015,2019,Low
2016,2019,Low
2017,2019,Low
2018.01,2019,Low
2018.02,2019,Low
2018.03,2019,Low
2019,2019,Low
2020,2019,Low
2021,2019,Low
2022,2019,Low
2023,2019,Low
2024,2019,Low
2025.01,2019,Low
2025.02,2019,Low
2025.03,2019,Low
2026,2019,Low
2027,2019,Low
2028,2019,Low
2029,2019,Low
2030,2019,Low
2031,2019,Low
2032,2019,Low
2033,2019,Low
2034,2019,Low
2035,2019,Low
2036.01,2019,Low
2036.02,2019,Low
2036.03,2019,Low
2037,2019,Low
2038,2019,Low
2039,2019,Low
2040,2019,Low
2041,2019,Low
2042,2019,Low
2043,2019,Low
2044.01,2019,Low
2044.02,2019,Low
2045,2019,Low
2046,2019,Low
2047.01,2019,Low
2047.02,2019,Low
2048,2019,Low
2049,2019,Low
2050,2019,Low
2051,2019,Low
2052,2019,Low
2053,2019,Low
2054,2019,Low
2055,2019,Low
2056,2019,Low
2057,2019,Low
2058,2019,Low
2059,2019,Low
2060,2019,Low
2061.01,2019,Low
2061.02,2019,Low
2062.01,2019,Low
2062.02,2019,Low
2062.03,2019,Low
2063.01,2019,Low
2063.02,2019,Low
2064,2019,Low
2065,2019,Low
2066.01,2019,Low
2066.02,2019,Low
2067,2019,Low
2068,2019,Low
2069.01,2019,Low
2069.02,2019,Low
2070,2019,Low
2071,2019,Low
2072,2019,Low
2073.01,2019,Low
2073.02,2019,Low
2073.03,2019,Low
2074.01,2019,Low
2074.02,2019,Low
2075.01,2019,Low
2075.02,2019,Low
2076.01,2019,Low
2076.02,2019,Low
2076.03,2019,Low
2077,2019,Low
2078,2019,Low
2079.01,2019,Low
2079.02,2019,Low
2080.01,2019,Low
2080.02,2019,Low
2080.03,2019,Low
2080.04,2019,Low
2081,2019,Low
2082,2019,Low
2083,2019,Low
2084,2019,Low
2085.01,2019,Low
2085.02,2019,Low
2086.01,2019,Low
2086.02,2019,Low
2086.03,2019,Low
2087,2019,Low
2088,2019,Low
2089.01,2019,Low
2089.02,2019,Low
2089.03,2019,Low
2089.04,2019,Low
2090,2019,Low
2091,2019,Low
2092,2019,Low
2093,2019,Low
2094,2019,Low
2095,2019,Low
2096.01,2019,Low
2096.02,2019,Low
2097,2019,Low
2098,2019,Low
2099.01,2019,Low
2099.02,2019,Low
2100,2019,Low
2101,2019,Low
2102,2019,Low
2103,2019,Low
2104,2019,Low
2105,2019,Low
2106,2019,Low
2107,2019,Low
2108,2019,Low
2109,2019,Low
2110,2019,Low
2111.01,2019,Low
2111.02,2019,Low
2112.01,2019,Low
2112.02,2019,Low
2112.03,2019,Low
2112.04,2019,Low
2112.05,2019,Low
2112.06,2019,Low
2113,2019,Low
2114.01,2019,Low
2114.02,2019,Low
2114.03,2019,Low
2115.01,2019,Low
2115.02,2019,Low
2116.01,2019,Low
2116.02,2019,Low
2117.01,2019,Low
2117.02,2019,Low
2118,2019,Low
2119,2019,Low
2120,2019,Low
2121,2019,Low
2122,2019,Low
2123,2019,Low
2124,2019,Low
2125,2019,Low
2126,2019,Low
2127,2019,Low
2128,2019,Low
2129,2019,Low
2130,2019,Low
2131,2019,Low
2132,2019,Low
2133,2019,Low
2134,2019,Low
2135,2019,Low
2136,2019,Low
2137,2019,Low
2138,2019,Low
2139,2019,Low
2140,2019,Low
2141,2019,Low
2142,2019,Low
2143,2019,Low
2144,2019,Low
2145,2019,Low
2146,2019,Low
2147,2019,Low
2148,2019,Low
2149,2019,Low
2150,2019,Low
2151,2019,Low
2152,2019,Low
2153,2019,Low
2154,2019,Low
2155,2019,Low
2156,2019,Low
2157,2019,Low
2158,2019,Low
2159,2019,Low
1611,2045,Low
1612,2045,Low
1613,2045,Low
1614,2045,Low
1615,2045,Low
1616,2045,Low
1617,2045,Low
1618,2045,Low
1619,2045,Low
1620,2045,Low
1621,2045,Low
1622,2045,Low
1623,2045,Low
1624,2045,Low
1625,2045,Low
1626,2045,Low
1627,2045,Low
1628.01,2045,Low
1628.02,2045,Low
1628.03,2045,Low
1629,2045,Low
1630.01,2045,Low
1630.02,2045,Low
1631,2045,Low
1632.01,2045,Low
1632.02,2045,Low
1632.03,2045,Low
1632.04,2045,Low
1633,2045,Low
1634,2045,Low
1635,2045,Low
1636,2045,Low
1637,2045,Low
1638.01,2045,Low
1638.02,2045,Low
1639.01,2045,Low
1639.02,2045,Low
1640,2045,Low
1641,2045,Low
1642,2045,Low
1643,2045,Low
1644,2045,Low
1645,2045,Low
1646,2045,Low
1647.01,2045,Low
1647.02,2045,Low
1648,2045,Low
1649,2045,Low
1650,2045,Low
1651,2045,Low
1652.01,2045,Low
1652.02,2045,Low
1653,2045,Low
1654.01,2045,Low
1654.02,2045,Low
1655,2045,Low
1656,2045,Low
1657,2045,Low
1658,2045,Low
1659,2045,Low
1660,2045,Low
1661,2045,Low
1662.01,2045,Low
1662.02,2045,Low
1662.03,2045,Low
1663,2045,Low
1664,2045,Low
1665.01,2045,Low
1665.02,2045,Low
1666,2045,Low
1667,2045,Low
1668,2045,Low
1669,2045,Low
1670,2045,Low
1671,2045,Low
1672.01,2045,Low
1672.02,2045,Low
1673.01,2045,Low
1673.02,2045,Low
1673.03,2045,Low
1674,2045,Low
1675.01,2045,Low
1675.02,2045,Low
1676.01,2045,Low
1676.02,2045,Low
1676.03,2045,Low
1677,2045,Low
1678,2045,Low
1679,2045,Low
1680,2045,Low
1681,2045,Low
1682.01,2045,Low
1682.02,2045,Low
1683,2045,Low
1684,2045,Low
1685,2045,Low
1686,2045,Low
1687,2045,Low
1688.01,2045,Low
1688.02,2045,Low
1688.03,2045,Low
1689.01,2045,Low
1689.02,2045,Low
1689.03,2045,Low
1690.01,2045,Low
1690.02,2045,Low
1691,2045,Low
1692,2045,Low
1693,2045,Low
1694,2045,Low
1695,2045,Low
1696,2045,Low
1697,2045,Low
1698,2045,Low
1699,2045,Low
1700,2045,Low
1701,2045,Low
1702,2045,Low
1703,2045,Low
1704.01,2045,Low
1704.02,2045,Low
1704.03,2045,Low
1705,2045,Low
1706,2045,Low
1707,2045,Low
1708,2045,Low
1709,2045,Low
1710,2045,Low
1711,2045,Low
1712,2045,Low
1713,2045,Low
1714,2045,Low
1715,2045,Low
1716,2045,Low
1717,2045,Low
1718,2045,Low
1719,2045,Low
1720,2045,Low
1721,2045,Low
1722,2045,Low
1723,2045,Low
1724,2045,Low
1725.01,2045,Low
1725.02,2045,Low
1726.01,2045,Low
1726.02,2045,Low
1727,2045,Low
1728.01,2045,Low
1728.02,2045,Low
1729.01,2045,Low
1729.02,2045,Low
1730.01,2045,Low
1730.02,2045,Low
1731.01,2045,Low
1731.02,2045,Low
1731.03,2045,Low
1732,2045,Low
1733,2045,Low
1734,2045,Low
1735,2045,Low
1736,2045,Low
1737,2045,Low
1738,2045,Low
1739.01,2045,Low
1739.02,2045,Low
1739.03,2045,Low
1740,2045,Low
1741.01,2045,Low
1741.02,2045,Low
1741.03,2045,Low
1742.01,2045,Low
1742.02,2045,Low
1743,2045,Low
1744.01,2045,Low
1744.02,2045,Low
1745,2045,Low
1746,2045,Low
1747,2045,Low
1748,2045,Low
1749,2045,Low
1750.01,2045,Low
1750.02,2045,Low
1750.03,2045,Low
1751,2045,Low
1752.01,2045,Low
1752.02,2045,Low
1753.01,2045,Low
1753.02,2045,Low
1753.03,2045,Low
1754.01,2045,Low
1754.02,2045,Low
1754.03,2045,Low
1755,2045,Low
1756,2045,Low
1757,2045,Low
1758,2045,Low
1759,2045,Low
1760,2045,Low
1761,2045,Low
1762,2045,Low
1763,2045,Low
1764,2045,Low
1765,2045,Low
1766,2045,Low
1767,2045,Low
1768,2045,Low
1769,2045,Low
1770.01,2045,Low
1770.02,2045,Low
1771,2045,Low
1772,2045,Low
1773,2045,Low
1774,2045,Low
1775,2045,Low
1776,2045,Low
1777,2045,Low
1778,2045,Low
1779,2045,Low
1780,2045,Low
1781,2045,Low
1782,2045,Low
1783,2045,Low
1784,2045,Low
1785,2045,Low
1786,2045,Low
1787,2045,Low
1788,2045,Low
1789,2045,Low
1790,2045,Low
1791,2045,Low
1792,2045,Low
1793.01,2045,Low
1793.02,2045,Low
1794,2045,Low
1795,2045,Low
1796.01,2045,Low
1796.02,2045,Low
1796.03,2045,Low
1797.01,2045,Low
1797.02,2045,Low
1797.03,2045,Low
1798.01,2045,Low
1798.02,2045,Low
1798.03,2045,Low
1798.04,2045,Low
1799,2045,Low
1800.01,2045,Low
1800.02,2045,Low
1800.03,2045,Low
1800.04,2045,Low
1800.05,2045,Low
1800.06,2045,Low
1801,2045,Low
1802,2045,Low
1803,2045,Low
1804,2045,Low
1805,2045,Low
1806,2045,Low
1807,2045,Low
1808,2045,Low
1809,2045,Low
1810,2045,Low
1811,2045,Low
1812,2045,Low
1813,2045,Low
1814.01,2045,Low
1814.02,2045,Low
1815,2045,Low
1816,2045,Low
1817.01,2045,Low
1817.02,2045,Low
1817.03,2045,Low
1818,2045,Low
1819,2045,Low
1820,2045,Low
1821,2045,Low
1822,2045,Low
1823,2045,Low
1824,2045,Low
1825,2045,Low
1826,2045,Low
1827,2045,Low
1828,2045,Low
1829,2045,Low
1830,2045,Low
1831,2045,Low
1832.01,2045,Low
1832.02,2045,Low
1832.03,2045,Low
1833.01,2045,Low
1833.02,2045,Low
1833.03,2045,Low
1834,2045,Low
1835,2045,Low
1836,2045,Low
1837,2045,Low
1838.01,2045,Low
1838.02,2045,Low
1839,2045,Low
1840,2045,Low
1841.01,2045,Low
1841.02,2045,Low
1841.03,2045,Low
1841.04,2045,Low
1842.01,2045,Low
1842.02,2045,Low
1843.01,2045,Low
1843.02,2045,Low
1844,2045,Low
1845.01,2045,Low
1845.02,2045,Low
1845.03,2045,Low
1846.01,2045,Low
1846.02,2045,Low
1847.01,2045,Low
1847.02,2045,Low
1848.01,2045,Low
1848.02,2045,Low
1849.01,2045,Low
1849.02,2045,Low
1850,2045,Low
1851.01,2045,Low
1851.02,2045,Low
1852.01,2045,Low
1852.02,2045,Low
1853.01,2045,Low
1853.02,2045,Low
1854.01,2045,Low
1854.02,2045,Low
1855,2045,Low
1856,2045,Low
1857,2045,Low
1858,2045,Low
1859,2045,Low
1860,2045,Low
1861,2045,Low
1862,2045,Low
1863,2045,Low
1864,2045,Low
1865.01,2045,Low
1865.02,2045,Low
1865.03,2045,Low
1865.04,2045,Low
1866.01,2045,Low
1866.02,2045,Low
1866.03,2045,Low
1867.01,2045,Low
1867.02,2045,Low
1868.01,2045,Low
1868.02,2045,Low
1868.03,2045,Low
1869.01,2045,Low
1869.02,2045,Low
1870,2045,Low
1871,2045,Low
1872,2045,Low
1873,2045,Low
1874,2045,Low
1875,2045,Low
1876,2045,Low
1877,2045,Low
1878,2045,Low
1879,2045,Low
1880,2045,Low
1881,2045,Low
1882,2045,Low
1883,2045,Low
1884,2045,Low
1885,2045,Low
1886,2045,Low
1887,2045,Low
1888,2045,Low
1889,2045,Low
1890,2045,Low
1891,2045,Low
1892,2045,Low
1893,2045,Low
1894,2045,Low
1895,2045,Low
1896,2045,Low
1897,2045,Low
1898,2045,Low
1899,2045,Low
1900,2045,Low
1901.01,2045,Low
1901.02,2045,Low
1901.03,2045,Low
1902,2045,Low
1903,2045,Low
1904,2045,Low
1905,2045,Low
1906.01,2045,Low
1906.02,2045,Low
1907,2045,Low
1908,2045,Low
1909,2045,Low
1910,2045,Low
1911,2045,Low
1912,2045,Low
1913,2045,Low
1914,2045,Low
1915,2045,Low
1916,2045,Low
1917,2045,Low
1918,2045,Low
1919,2045,Low
1920,2045,Low
1921,2045,Low
1922,2045,Low
1923,2045,Low
1924,2045,Low
1925,2045,Low
1926,2045,Low
1927,2045,Low
1928,2045,Low
1929,2045,Low
1930,2045,Low
1931,2045,Low
1932,2045,Low
1933,2045,Low
1934,2045,Low
1935,2045,Low
1936,2045,Low
1937,2045,Low
1938,2045,Low
1939,2045,Low
1940,2045,Low
1941,2045,Low
1942,2045,Low
1943.01,2045,Low
1943.02,2045,Low
1943.03,2045,Low
1944.01,2045,Low
1944.02,2045,Low
1944.03,2045,Low
1944.04,2045,Low
1944.05,2045,Low
1944.06,2045,Low
1945.01,2045,Low
1945.02,2045,Low
1945.03,2045,Low
1946,2045,Low
1947,2045,Low
1948,2045,Low
1949,2045,Low
1950,2045,Low
1951,2045,Low
1952,2045,Low
1953,2045,Low
1954,2045,Low
1955,2045,Low
1956,2045,Low
1957,2045,Low
1958,2045,Low
1959,2045,Low
1960,2045,Low
1961,2045,Low
1962,2045,Low
1963,2045,Low
1964,2045,Low
1965,2045,Low
1966.01,2045,Low
1966.02,2045,Low
1967,2045,Low
1968.01,2045,Low
1968.02,2045,Low
1969.01,2045,Low
1969.02,2045,Low
1970,2045,Low
1971,2045,Low
1972.01,2045,Low
1972.02,2045,Low
1972.03,2045,Low
1972.04,2045,Low
1973.01,2045,Low
1973.02,2045,Low
1973.03,2045,Low
1973.04,2045,Low
1974,2045,Low
1975,2045,Low
1976,2045,Low
1977,2045,Low
1978,2045,Low
1979,2045,Low
1980,2045,Low
1981,2045,Low
1982,2045,Low
1983,2045,Low
1984,2045,Low
1985,2045,Low
1986,2045,Low
1987,2045,Low
1988,2045,Low
1989.01,2045,Low
1989.02,2045,Low
1989.03,2045,Low
1990,2045,Low
1991,2045,Low
1992,2045,Low
1993,2045,Low
1994,2045,Low
1995,2045,Low
1996,2045,Low
1997,2045,Low
1998,2045,Low
1999,2045,Low
2000,2045,Low
2001,2045,Low
2002,2045,Low
2003,2045,Low
2004,2045,Low
2005,2045,Low
2006.01,2045,Low
2006.02,2045,Low
2007,2045,Low
2008,2045,Low
2009,2045,Low
2010,2045,Low
2011,2045,Low
2012.01,2045,Low
2012.02,2045,Low
2013.01,2045,Low
2013.02,2045,Low
2014,2045,Low
2015,2045,Low
2016,2045,Low
2017,2045,Low
2018.01,2045,Low
2018.02,2045,Low
2018.03,2045,Low
2019,2045,Low
2020,2045,Low
2021,2045,Low
2022,2045,Low
2023,2045,Low
2024,2045,Low
2025.01,2045,Low
2025.02,2045,Low
2025.03,2045,Low
2026,2045,Low
2027,2045,Low
2028,2045,Low
2029,2045,Low
2030,2045,Low
2031,2045,Low
2032,2045,Low
2033,2045,Low
2034,2045,Low
2035,2045,Low
2036.01,2045,Low
2036.02,2045,Low
2036.03,2045,Low
2037,2045,Low
2038,2045,Low
2039,2045,Low
2040,2045,Low
2041,2045,Low
2042,2045,Low
2043,2045,Low
2044.01,2045,Low
2044.02,2045,Low
2045,2045,Low
2046,2045,Low
2047.01,2045,Low
2047.02,2045,Low
2048,2045,Low
2049,2045,Low
2050,2045,Low
2051,2045,Low
2052,2045,Low
2053,2045,Low
2054,2045,Low
2055,2045,Low
2056,2045,Low
2057,2045,Low
2058,2045,Low
2059,2045,Low
2060,2045,Low
2061.01,2045,Low
2061.02,2045,Low
2062.01,2045,Low
2062.02,2045,Low
2062.03,2045,Low
2063.01,2045,Low
2063.02,2045,Low
2064,2045,Low
2065,2045,Low
2066.01,2045,Low
2066.02,2045,Low
2067,2045,Low
2068,2045,Low
2069.01,2045,Low
2069.02,2045,Low
2070,2045,Low
2071,2045,Low
2072,2045,Low
2073.01,2045,Low
2073.02,2045,Low
2073.03,2045,Low
2074.01,2045,Low
2074.02,2045,Low
2075.01,2045,Low
2075.02,2045,Low
2076.01,2045,Low
2076.02,2045,Low
2076.03,2045,Low
2077,2045,Low
2078,2045,Low
2079.01,2045,Low
2079.02,2045,Low
2080.01,2045,Low
2080.02,2045,Low
2080.03,2045,Low
2080.04,2045,Low
2081,2045,Low
2082,2045,Low
2083,2045,Low
2084,2045,Low
2085.01,2045,Low
2085.02,2045,Low
2086.01,2045,Low
2086.02,2045,Low
2086.03,2045,Low
2087,2045,Low
2088,2045,Low
2089.01,2045,Low
2089.02,2045,Low
2089.03,2045,Low
2089.04,2045,Low
2090,2045,Low
2091,2045,Low
2092,2045,Low
2093,2045,Low
2094,2045,Low
2095,2045,Low
2096.01,2045,Low
2096.02,2045,Low
2097,2045,Low
2098,2045,Low
2099.01,2045,Low
2099.02,2045,Low
2100,2045,Low
2101,2045,Low
2102,2045,Low
2103,2045,Low
2104,2045,Low
2105,2045,Low
2106,2045,Low
2107,2045,Low
2108,2045,Low
2109,2045,Low
2110,2045,Low
2111.01,2045,Low
2111.02,2045,Low
2112.01,2045,Low
2112.02,2045,Low
2112.03,2045,Low
2112.04,2045,Low
2112.05,2045,Low
2112.06,2045,Low
2113,2045,Low
2114.01,2045,Low
2114.02,2045,Low
2114.03,2045,Low
2115.01,2045,Low
2115.02,2045,Low
2116.01,2045,Low
2116.02,2045,Low
2117.01,2045,Low
2117.02,2045,Low
2118,2045,Low
2119,2045,Low
2120,2045,Low
2121,2045,Low
2122,2045,Low
2123,2045,Low
2124,2045,Low
2125,2045,Low
2126,2045,Low
2127,2045,Low
2128,2045,Low
2129,2045,Low
2130,2045,Low
2131,2045,Low
2132,2045,Low
2133,2045,Low
2134,2045,Low
2135,2045,Low
2136,2045,Low
2137,2045,Low
2138,2045,Low
2139,2045,Low
2140,2045,Low
2141,2045,Low
2142,2045,Low
2143,2045,Low
2144,2045,Low
2145,2045,Low
2146,2045,Low
2147,2045,Low
2148,2045,Low
2149,2045,Low
2150,2045,Low
2151,2045,Low
2152,2045,Low
2153,2045,Low
2154,2045,Low
2155,2045,Low
2156,2045,Low
2157,2045,Low
2158,2045,Low
2159,2045,Low
